['1552697223558', '192.168.50.145', '35.67', '10205FE010002A7B', '-1.031', '2.032', '-10.032', '-3.010', '2.301', '-11.926', '0.247', '0.133', '-0.397', '1029.80', '-87']
['1552697223573', '192.168.50.145', '18.68', '10205FE010002C95', '-1.031', '2.032', '-10.032', '-3.010', '2.301', '-11.926', '0.247', '0.133', '-0.397', '1029.80', '-94']
['1552697223643', '192.168.50.145', 'NA', 'NA', '-0.328', '2.584', '-10.781', '4.891', '-31.552', '-20.676', '0.242', '0.139', '-0.391', '1029.80', 'NA']
['1552697223672', '192.168.50.145', 'NA', 'NA', '-2.670', '2.587', '-11.514', '1.120', '-12.845', '-15.120', '0.226', '0.141', '-0.402', '1029.82', 'NA']
['1552697223687', '192.168.50.145', '12.38', '10205FE010002C95', '-2.670', '2.587', '-11.514', '1.120', '-12.845', '-15.120', '0.226', '0.141', '-0.402', '1029.82', '-92']
['1552697223770', '192.168.50.145', 'NA', 'NA', '-0.335', '2.931', '-11.241', '45.062', '-40.381', '-1.549', '0.209', '0.142', '-0.412', '1029.80', 'NA']
['1552697223810', '192.168.50.145', 'NA', 'NA', '-0.525', '1.277', '-11.689', '13.554', '28.980', '-11.331', '0.204', '0.127', '-0.416', '1029.78', 'NA']
['1552697223879', '192.168.50.145', 'NA', 'NA', '0.081', '2.759', '-9.722', '-3.684', '21.271', '4.585', '0.212', '0.128', '-0.413', '1029.72', 'NA']
['1552697223913', '192.168.50.145', 'NA', 'NA', '0.081', '2.759', '-9.722', '-3.684', '21.271', '4.585', '0.212', '0.128', '-0.413', '1029.72', 'NA']
['1552697223989', '192.168.50.145', 'NA', 'NA', '-0.668', '3.029', '-7.691', '-13.142', '-13.387', '-0.123', '0.229', '0.145', '-0.393', '1029.73', 'NA']
['1552697224023', '192.168.50.145', 'NA', 'NA', '-0.668', '3.029', '-7.691', '-13.142', '-13.387', '-0.123', '0.229', '0.145', '-0.393', '1029.73', 'NA']
['1552697224099', '192.168.50.145', 'NA', 'NA', '-1.278', '3.775', '-9.287', '-9.756', '4.918', '2.957', '0.223', '0.161', '-0.387', '1029.79', 'NA']
['1552697224126', '192.168.50.145', '34.87', '10205FE010002A7B', '-0.352', '3.995', '-11.624', '17.824', '-34.221', '34.178', '0.230', '0.150', '-0.392', '1029.76', '-86']
['1552697224141', '192.168.50.145', '17.90', '10205FE010002C95', '-0.352', '3.995', '-11.624', '17.824', '-34.221', '34.178', '0.230', '0.150', '-0.392', '1029.76', '-92']
['1552697224224', '192.168.50.145', 'NA', 'NA', '-0.428', '4.658', '-12.467', '40.862', '-8.470', '4.742', '0.223', '0.140', '-0.399', '1029.71', 'NA']
['1552697224252', '192.168.50.145', '33.39', '10205FE010002A85', '-1.201', '0.497', '-13.687', '-15.540', '24.824', '3.439', '0.226', '0.132', '-0.402', '1029.79', '-99']
['1552697224267', '192.168.50.145', '34.73', '10205FE010002A7B', '-1.201', '0.497', '-13.687', '-15.540', '24.824', '3.439', '0.226', '0.132', '-0.402', '1029.79', '-85']
['1552697224357', '192.168.50.145', 'NA', 'NA', '-1.731', '0.952', '-9.350', '-2.494', '14.017', '-1.846', '0.227', '0.130', '-0.404', '1029.80', 'NA']
['1552697224391', '192.168.50.145', 'NA', 'NA', '-1.731', '0.952', '-9.350', '-2.494', '14.017', '-1.846', '0.227', '0.130', '-0.404', '1029.80', 'NA']
['1552697224471', '192.168.50.145', 'NA', 'NA', '-0.272', '2.103', '-7.889', '-7.455', '5.827', '12.250', '0.235', '0.120', '-0.399', '1029.81', 'NA']
['1552697224511', '192.168.50.145', 'NA', 'NA', '-0.554', '2.069', '-7.449', '-15.470', '11.375', '-0.219', '0.236', '0.130', '-0.391', '1029.74', 'NA']
['1552697224590', '192.168.50.145', 'NA', 'NA', '-1.275', '2.742', '-8.673', '-10.894', '2.966', '-1.811', '0.236', '0.139', '-0.388', '1029.77', 'NA']
['1552697224631', '192.168.50.145', 'NA', 'NA', '-1.329', '3.594', '-10.288', '7.508', '-5.801', '3.439', '0.235', '0.138', '-0.390', '1029.80', 'NA']
